,tp_area,fp_area,fn_area,tn_area,fp_count,tp_count,fn_count,tn_count,total_area,total_buildings_count,built_area,union_area,union_count,positive_predict_area,kfold,ds,precision,recall,erosion,truth_expansion,simplify
0,9729.2318676033,10202.28057899576,2658.5951583854458,3975159.146191958,109,91,26,11279,3997696.0,11505,1332869.0367754218,22590.107604984507,226,19905.739679009203,1,validation,0.48813314562404975,0.7853864803885371,-1.0,0,0.0
1,9338.668819848208,6491.941909529194,3048.3747131612145,3978863.371524187,89,90,27,11299,3997696.0,11505,1332869.0367754218,18878.98544253862,206,15805.81406553465,1,validation,0.5899121000125487,0.7539061919789173,-0.5,0,0.0
2,8299.813354026148,3056.64492872315,4083.7176600221323,3982294.943709807,63,86,31,11325,3997696.0,11505,1332869.0367754218,15440.175942771431,180,11335.284813397648,1,validation,0.7308452289772192,0.6702299485187682,0.0,0,0.0
3,5946.744969343084,1363.5746180625952,6426.874488783244,3983986.4595116396,36,77,40,11352,3997696.0,11505,1332869.0367754218,13737.194076188924,153,7299.316593819167,1,validation,0.8134726393615156,0.48059866310480254,0.5,0,0.0
4,3955.5865050619627,723.7459383728462,8410.12632381574,3984626.2881913297,23,62,55,11365,3997696.0,11505,1332869.0367754218,13089.458767250551,140,4676.947028847948,1,validation,0.8453313699931119,0.3198834195651434,1.0,0,0.0
5,9703.016515443005,9859.67718359984,2684.5058629066416,3975501.0707782353,109,91,26,11279,3997696.0,11505,1332869.0367754218,22247.199561949485,226,19537.225576842822,1,validation,0.4959959331121026,0.7832895246592247,-1.0,0,0.25
6,9287.138097849074,6179.341296055298,3099.3129082996,3979175.6157713523,88,90,27,11300,3997696.0,11505,1332869.0367754218,18565.792302203972,205,15442.290066865424,1,validation,0.6004687855149058,0.7497820072302316,-0.5,0,0.25
7,8276.703581808575,3050.42384305562,4105.5682268664295,3982301.16939816,62,84,33,11326,3997696.0,11505,1332869.0367754218,15432.695651730624,179,11307.224252681744,1,validation,0.7306974903134197,0.6684317473962998,0.0,0,0.25
8,6145.393353321213,1453.373303086377,6228.079739468054,3983896.7148560993,36,80,37,11352,3997696.0,11505,1332869.0367754218,13826.846395875644,153,7588.040399252915,1,validation,0.8087356318724653,0.4966587236450602,0.5,0,0.25
9,4140.005471961305,766.1480720148644,8225.789861528108,3984583.8860576875,24,67,50,11364,3997696.0,11505,1332869.0367754218,13131.94340550428,141,4903.669485373632,1,validation,0.8438393610906145,0.33479492101484326,1.0,0,0.25
10,9679.103032258914,9548.13676790371,2708.4193460949436,3975811.440175647,109,91,26,11279,3997696.0,11505,1332869.0367754218,21935.659146257567,226,19201.771674712472,1,validation,0.5034057479314866,0.7813590754170765,-1.0,0,0.5
11,9240.737513883028,5913.327327247633,3145.713496768802,3979441.1804338484,87,90,27,11301,3997696.0,11505,1332869.0367754218,18299.778337899465,204,15129.875509589156,1,validation,0.609786061413841,0.7460359311909748,-0.5,0,0.5
12,8152.694155191379,2931.7895053621382,4229.534838558877,3982419.450143313,58,84,33,11330,3997696.0,11505,1332869.0367754218,15314.018499112393,175,11064.623303300634,1,validation,0.7355050902555316,0.658418945353565,0.0,0,0.5
13,6078.872948384405,1420.9700622018383,6294.266139978294,3983929.0852078805,34,78,39,11354,3997696.0,11505,1332869.0367754218,13794.109150564538,151,7489.443254528382,1,validation,0.8105333591388382,0.49129593589566645,0.5,0,0.5
14,4129.370914960749,756.8179716781549,8236.417233142576,3984593.216158023,23,66,51,11365,3997696.0,11505,1332869.0367754218,13122.606119781478,140,4883.713638066859,1,validation,0.8451107828132381,0.3339351172366733,1.0,0,0.5
15,9640.284180820669,9045.326956427929,2747.2241330803563,3976311.874918836,107,91,26,11281,3997696.0,11505,1332869.0367754218,21432.835270328957,224,18660.15707625033,1,validation,0.5159201970977211,0.7782262531361959,-1.0,0,1.0
16,9122.060144223564,5501.435818186323,3263.5713555255306,3979851.353165032,87,90,27,11301,3997696.0,11505,1332869.0367754218,17887.06731793542,204,14600.153116762787,1,validation,0.6237947593155617,0.7365034350011427,-0.5,0,1.0
17,7892.600655788761,2740.704393291643,4487.694021681387,3982609.627413526,57,84,33,11331,3997696.0,11505,1332869.0367754218,15120.999070761793,174,10615.4079860173,1,validation,0.7422528197356035,0.6375131498405961,0.0,0,1.0
18,5843.687043956508,1362.1850649205621,6526.539121758833,3983987.8490647795,32,77,40,11356,3997696.0,11505,1332869.0367754218,13732.411230635904,149,7198.385386072984,1,validation,0.8109618038818012,0.47239936971828045,0.5,0,1.0
19,4001.773094045554,746.0885444694558,8361.616937657294,3984603.9455852313,23,61,56,11365,3997696.0,11505,1332869.0367754218,13109.478576172303,140,4747.765628363556,1,validation,0.842857985073295,0.3236792727386258,1.0,0,1.0
